,Date,Anxiety
0,2021-03-23,1.6666666666666667
1,2021-03-22,0.6666666666666666
2,2021-03-20,2.0
3,2021-03-19,1.0
4,2021-03-18,1.6666666666666667
5,2021-03-17,1.0
6,2021-03-16,1.3333333333333333
7,2021-03-15,1.6666666666666667
8,2021-03-14,1.3333333333333333
9,2021-03-13,0.5
10,2021-03-12,1.0
11,2021-03-11,0.3333333333333333
12,2021-03-10,1.6666666666666667
13,2021-03-09,0.5
14,2021-03-08,1.0
15,2021-03-07,0.5
16,2021-03-06,1.0
17,2021-03-05,1.0
18,2021-03-04,1.0
19,2021-03-02,1.3333333333333333
20,2021-02-28,0.6666666666666666
21,2021-02-27,0.5
22,2021-02-26,0.3333333333333333
23,2021-02-25,1.6666666666666667
24,2021-02-24,1.6666666666666667
25,2021-02-23,0.5
26,2021-02-22,1.6666666666666667
27,2021-02-21,1.0
28,2021-02-20,0.25
29,2021-02-19,1.3333333333333333
30,2021-02-18,1.0
31,2021-02-17,0.0
32,2021-02-16,0.5
33,2021-02-15,0.75
34,2021-02-14,1.5
35,2021-02-13,1.5
36,2021-02-12,1.0
37,2021-02-11,1.0
38,2021-02-10,1.0
39,2021-02-09,1.0
40,2021-02-08,1.0
41,2021-02-07,1.25
42,2021-02-06,1.0
43,2021-02-05,2.0
44,2021-02-04,1.0
45,2021-02-03,0.5
46,2021-02-02,1.0
47,2021-02-01,1.5
48,2021-01-31,0.3333333333333333
49,2021-01-30,1.0
50,2021-01-29,1.25
51,2021-01-28,0.75
52,2021-01-27,0.6666666666666666
53,2021-01-26,1.25
54,2021-01-25,1.0
55,2021-01-24,0.0
56,2021-01-23,1.0
57,2021-01-22,1.5
58,2021-01-21,0.5
59,2021-01-20,0.5
60,2021-01-19,1.5
61,2021-01-18,0.3333333333333333
62,2021-01-17,0.0
63,2021-01-16,0.25
64,2021-01-15,0.6666666666666666
65,2021-01-14,0.5
66,2021-01-13,0.0
67,2021-01-12,0.3333333333333333
